date,provider,series_id,value,unit,release_date,source_url
2025-08-01,NDC,tw_ndc_coincident_index,100.4933250649451,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2025-09-01,NDC,tw_ndc_coincident_index,100.5386909509119,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2025-10-01,NDC,tw_ndc_coincident_index,100.8071502316055,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2025-11-01,NDC,tw_ndc_coincident_index,101.3059922159077,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2025-12-01,NDC,tw_ndc_coincident_index,101.9677742538671,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2026-01-01,NDC,tw_ndc_coincident_index,102.8238047181887,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2026-02-01,NDC,tw_ndc_coincident_index,103.7413367774932,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2026-03-01,NDC,tw_ndc_coincident_index,104.6226688954975,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2026-04-01,NDC,tw_ndc_coincident_index,105.3302958617588,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2026-05-01,NDC,tw_ndc_coincident_index,105.9461305755344,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2026-06-01,NDC,tw_ndc_coincident_index,106.423769051658,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2026-07-01,NDC,tw_ndc_coincident_index,106.8049537676424,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/coincident
2025-08-01,NDC,tw_ndc_lagging_index,97.35766441447042,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2025-09-01,NDC,tw_ndc_lagging_index,97.34403062863193,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2025-10-01,NDC,tw_ndc_lagging_index,97.30985532507411,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2025-11-01,NDC,tw_ndc_lagging_index,97.26188219121136,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2025-12-01,NDC,tw_ndc_lagging_index,97.30465201204993,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2026-01-01,NDC,tw_ndc_lagging_index,97.56339329023686,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2026-02-01,NDC,tw_ndc_lagging_index,98.14736841179909,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2026-03-01,NDC,tw_ndc_lagging_index,99.14853597267371,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2026-04-01,NDC,tw_ndc_lagging_index,100.4938484661689,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2026-05-01,NDC,tw_ndc_lagging_index,101.9604260022271,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2026-06-01,NDC,tw_ndc_lagging_index,103.3769490216439,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2026-07-01,NDC,tw_ndc_lagging_index,104.7914087010663,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lagged
2025-08-01,NDC,tw_ndc_leading_index,98.78889873559753,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2025-09-01,NDC,tw_ndc_leading_index,99.20435642816588,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2025-10-01,NDC,tw_ndc_leading_index,99.73076765089073,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2025-11-01,NDC,tw_ndc_leading_index,100.2764482415886,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2025-12-01,NDC,tw_ndc_leading_index,100.7756578443083,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2026-01-01,NDC,tw_ndc_leading_index,101.1443536019292,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2026-02-01,NDC,tw_ndc_leading_index,101.3946378079098,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2026-03-01,NDC,tw_ndc_leading_index,101.8232329115334,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2026-04-01,NDC,tw_ndc_leading_index,102.4610897578671,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2026-05-01,NDC,tw_ndc_leading_index,103.1542179797833,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2026-06-01,NDC,tw_ndc_leading_index,103.8879885751358,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2026-07-01,NDC,tw_ndc_leading_index,104.6337282843642,index,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/leading
2025-08-01,NDC,tw_ndc_monitoring_score,31,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2025-09-01,NDC,tw_ndc_monitoring_score,34,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2025-10-01,NDC,tw_ndc_monitoring_score,35,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2025-11-01,NDC,tw_ndc_monitoring_score,37,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2025-12-01,NDC,tw_ndc_monitoring_score,38,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2026-01-01,NDC,tw_ndc_monitoring_score,39,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2026-02-01,NDC,tw_ndc_monitoring_score,41,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2026-03-01,NDC,tw_ndc_monitoring_score,39,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2026-04-01,NDC,tw_ndc_monitoring_score,40,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2026-05-01,NDC,tw_ndc_monitoring_score,39,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2026-06-01,NDC,tw_ndc_monitoring_score,41,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
2026-07-01,NDC,tw_ndc_monitoring_score,41,score,2026-09-26,https://index.ndc.gov.tw/n/zh_tw/lightscore
